fecha,1_5MA,1_desviacion_estandar_relativa,1_5MA_desviacion_estandar_relativa,1_RoC,4_5MA,4_desviacion_estandar_relativa,4_5MA_desviacion_estandar_relativa,4_RoC,5_5MA,5_desviacion_estandar_relativa,5_5MA_desviacion_estandar_relativa,5_RoC,6_5MA,6_desviacion_estandar_relativa,6_5MA_desviacion_estandar_relativa,6_RoC,7_5MA,7_desviacion_estandar_relativa,7_5MA_desviacion_estandar_relativa,7_RoC,8_5MA,8_desviacion_estandar_relativa,8_5MA_desviacion_estandar_relativa,8_RoC,9_5MA,9_desviacion_estandar_relativa,9_5MA_desviacion_estandar_relativa,9_RoC,10_5MA,10_desviacion_estandar_relativa,10_5MA_desviacion_estandar_relativa,10_RoC,11_5MA,11_desviacion_estandar_relativa,11_5MA_desviacion_estandar_relativa,11_RoC,12_5MA,12_desviacion_estandar_relativa,12_5MA_desviacion_estandar_relativa,12_RoC,13_5MA,13_desviacion_estandar_relativa,13_5MA_desviacion_estandar_relativa,13_RoC,14_5MA,14_desviacion_estandar_relativa,14_5MA_desviacion_estandar_relativa,14_RoC,15_5MA,15_desviacion_estandar_relativa,15_5MA_desviacion_estandar_relativa,15_RoC,16_5MA,16_desviacion_estandar_relativa,16_5MA_desviacion_estandar_relativa,16_RoC,17_5MA,17_desviacion_estandar_relativa,17_5MA_desviacion_estandar_relativa,17_RoC,18_5MA,18_desviacion_estandar_relativa,18_5MA_desviacion_estandar_relativa,18_RoC,19_5MA,19_desviacion_estandar_relativa,19_5MA_desviacion_estandar_relativa,19_RoC,21_5MA,21_desviacion_estandar_relativa,21_5MA_desviacion_estandar_relativa,21_RoC,22_5MA,22_desviacion_estandar_relativa,22_5MA_desviacion_estandar_relativa,22_RoC,23_5MA,23_desviacion_estandar_relativa,23_5MA_desviacion_estandar_relativa,23_RoC,24_5MA,24_desviacion_estandar_relativa,24_5MA_desviacion_estandar_relativa,24_RoC,25_5MA,25_desviacion_estandar_relativa,25_5MA_desviacion_estandar_relativa,25_RoC,26_5MA,26_desviacion_estandar_relativa,26_5MA_desviacion_estandar_relativa,26_RoC,27_5MA,27_desviacion_estandar_relativa,27_5MA_desviacion_estandar_relativa,27_RoC,28_5MA,28_desviacion_estandar_relativa,28_5MA_desviacion_estandar_relativa,28_RoC,29_5MA,29_desviacion_estandar_relativa,29_5MA_desviacion_estandar_relativa,29_RoC,30_5MA,30_desviacion_estandar_relativa,30_5MA_desviacion_estandar_relativa,30_RoC,31_5MA,31_desviacion_estandar_relativa,31_5MA_desviacion_estandar_relativa,31_RoC,32_5MA,32_desviacion_estandar_relativa,32_5MA_desviacion_estandar_relativa,32_RoC,34_5MA,34_desviacion_estandar_relativa,34_5MA_desviacion_estandar_relativa,34_RoC,35_5MA,35_desviacion_estandar_relativa,35_5MA_desviacion_estandar_relativa,35_RoC,40_5MA,40_desviacion_estandar_relativa,40_5MA_desviacion_estandar_relativa,40_RoC,41_5MA,41_desviacion_estandar_relativa,41_5MA_desviacion_estandar_relativa,41_RoC,42_5MA,42_desviacion_estandar_relativa,42_5MA_desviacion_estandar_relativa,42_RoC,43_5MA,43_desviacion_estandar_relativa,43_5MA_desviacion_estandar_relativa,43_RoC
2011-07-31,51786.66666666667,0.005929636046557041,0.008383599565502822,0.003507753812425518,4.1306666666666665,0.008452047109605183,0.009190705082384048,0.005622489959839161,4.0953333333333335,0.008777671961270234,0.008727359569933793,0.008921330089213253,,,,,11.288673835125447,0.01707629372323618,0.009575991181851234,0.031244409993441025,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.517098207885306,0.0329242970921337,0.018635215174308703,0.06459155174226461,9.544612544802868,0.022077387651820754,0.01630705584735601,0.01443924964827592,11.442202508960573,0.042734990342739414,0.016514892992993642,0.08822672601959192,29.364628315412187,0.00337402352735739,0.006853337355602415,0.007793851568198784,173443.26666666666,0.06568423052663538,0.042966769558858905,0.0766415370567417,135811.8,0.0599412093798332,0.036588234754418865,0.03532967626998329,118314.0,0.060691840939284675,0.03690334117564002,0.049002342633206686,17497.8,0.06896245881785065,0.0948350730244048,-0.052142012657347636,37631.46666666667,0.12367538217966,0.10238503665054788,0.24472622257922616,447076.5333333333,0.04077564023301837,0.0435940278715279,0.017382639664339283,100069.06666666668,0.02183718303809568,0.051599136818784155,-0.020924049296703884,101091.66666666666,0.05485079783494076,0.037075444051095294,0.031718190455309436,196034.06666666665,0.0413745870467485,0.05790009077633505,0.03235264735264742,38.7,0.027528780042203674,0.06773687700557599,0.020408163265306145,227905.0,0.0631641312826844,0.04910475176595861,0.04160900140646984,0.7503225806451613,0.047154495557145425,0.045669091649536454,0.07373271889400934,9.729032258064514,0.006672616644120759,0.03561476297344385,0.0,11.857397849462364,0.016391271110698068,0.015193328648766791,-0.011790562970763974,2.7346399999999997,0.012378015584700992,0.01231723658705366,0.007182761372705571,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,14073.4,0.33700360265645735,0.22987786069666508,-0.21379687927730628,440.94303999999994,0.012035840422554383,0.012024238838787917,0.007571992563282004
2011-08-31,51525.066666666666,0.01687557462381068,0.009843353704532225,-0.03636211760019026,4.1626666666666665,0.011484821661953458,0.009945082837023531,0.015974440894568787,4.125333333333334,0.011856096192312503,0.009515474935604337,0.012861736334405238,,,,,11.53181899641577,0.043712419057064654,0.015924460244428378,0.06470078057241979,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.472259498207887,0.0328969239795451,0.022480067188656267,-0.062377226032911515,9.740902867383515,0.03280857413280576,0.020668462203560025,0.049765459830866776,11.729879928315412,0.05718502549574984,0.024362994738549592,0.02331979562426323,29.442467025089606,0.008204791020094578,0.004879639780025936,0.013433587802981206,178750.26666666666,0.05091563903060989,0.04490725028762922,-0.023132215127322775,139616.2,0.056953238902216305,0.038534173625297624,0.0004653696851377731,121628.6,0.0565429828305815,0.03726404944651557,-0.0071607516198479715,17987.6,0.07237108098607528,0.0789939195315725,0.054460076673331415,39134.066666666666,0.07903885801755894,0.10478836081239265,-0.10299156461748837,457861.3333333333,0.03545835015266021,0.0420236634154665,0.018307777940697045,101351.46666666667,0.023170776904330597,0.038646363764290946,0.05269524024514727,102810.46666666666,0.03915008390149597,0.03968805373378953,-0.04959176570955148,201720.26666666666,0.04870802560290555,0.051872733623997955,0.04150921486183745,39.1,0.014802860489508914,0.054965811857760116,-0.022499999999999964,236986.6,0.06441664511444034,0.053180245636709554,0.038182029317403554,0.76,0.055063875154046614,0.05062400605648469,0.06437768240343367,9.71032258064516,0.00237705718267608,0.026602456126251155,0.005320917858330665,11.749010752688172,0.01575699339904462,0.014626229434119734,-0.005004170141784892,2.75602,0.012056472688928878,0.012309025355096445,0.007779858809969786,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,13137.6,0.24603634392435297,0.23843760721507748,0.9051764159702878,444.35548,0.012127286772371544,0.012067970635464898,0.00812405156662832
2011-09-30,50842.26666666667,0.029631212598279097,0.013879626523604003,-0.0280056011202241,4.188666666666667,0.012839261037558659,0.010394135717677357,0.002358490566037652,4.149333333333334,0.012175334956340458,0.009944893954012653,0.0,,,,,11.902513440860215,0.06494942056663441,0.027993364167495705,0.051683501683501554,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.55441505376344,0.03184406017451896,0.025931051166202545,0.032410587534917656,9.909347311827958,0.03052692707229483,0.02457250477482004,-0.0029390940415690014,12.079035483870967,0.06458001517236779,0.03607368281773206,0.02862373575726518,29.621355913978494,0.0147010652957104,0.006645068284940203,0.014241892050111282,183621.06666666665,0.047035198698170286,0.04946293878541906,0.036921835059868124,143265.53333333333,0.04543473490686374,0.04453926527455422,0.00934617610020072,124769.06666666665,0.048140353954018396,0.04450642903387927,0.014701392639909772,18496.466666666667,0.04202215459603872,0.056869404950929306,-0.026354242772153258,40355.53333333333,0.09430092977734575,0.10492216152681008,0.14100719424460428,467487.4666666667,0.030422065484707998,0.03841376070950155,0.015330868707287504,102212.13333333333,0.021332687413923933,0.03026938255815014,-0.005444227870221918,103529.86666666667,0.036101583741601405,0.04134917638880997,0.008409243362530683,207938.6,0.047055979794170685,0.04422017969931964,0.0235440591667595,38.760000000000005,0.03077646121454778,0.0412644235751839,-0.05882352941176483,246902.6666666667,0.06498557688334569,0.058493314407644756,0.04460624222063547,0.7600000000000001,0.05506387515404661,0.05220588197586493,0.0,9.740655913978491,0.006771475189133097,0.017391953625778857,0.01026022714742525,11.668344086021506,0.018267557067351243,0.015887534857699122,-0.008098165223060505,2.7776000000000005,0.012061765941908545,0.01228239786882988,0.00825589706933516,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,12264.0,0.2652865350853453,0.2535806154815726,-0.36314346634176053,447.8103,0.012251091529980171,0.012138048619161085,0.00788795850406876
2011-10-31,49934.86666666667,0.038123497085627726,0.019620587471764643,-0.021959250874665548,4.218666666666667,0.012966468536493952,0.01095054065484029,0.007058823529411784,4.179333333333334,0.01220576993860798,0.010571611095230773,0.00952380952380949,,,,,13.154663978494625,0.1912470067949532,0.064935082331642,0.3438708644665569,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.933974193548389,0.07331350357780311,0.03721428609842527,0.15034542410095497,10.526917204301075,0.1220019809286121,0.04549197120232475,0.24949897585931535,13.425917204301076,0.19371195620860512,0.07345051393564586,0.3849634952916021,30.03868924731183,0.028561271965645636,0.011661508114144048,0.03714341124645615,187133.46666666665,0.03390119572829653,0.04856114105855928,-0.01265789938033901,146518.53333333335,0.01879444682139575,0.04495634737956369,0.00316297765008966,127918.66666666666,0.024769035021610354,0.04615757804077662,0.009952091096350202,18599.86666666667,0.031952992301169325,0.056840864058333385,-0.04400493112504689,40614.933333333334,0.09446389623265707,0.09966604969927662,-0.06548369663123765,474836.8666666667,0.02205801861895263,0.03454530902633579,0.0006319807018704271,101869.33333333334,0.02050942516612853,0.025308777169977714,-0.018748793203321124,104472.86666666667,0.021832173711290922,0.03978559665479481,-0.010488971155329319,212986.6,0.04406578221666567,0.04403021020867929,0.009767433416241644,37.67999999999999,0.07227752047186706,0.037659889910466794,-0.09510869565217395,257031.8666666667,0.062429924285751365,0.062019444878377086,0.0357576414075953,0.7496774193548388,0.06780351927180174,0.05632757062661768,-0.12903225806451613,9.76001075268817,0.006684503574093049,0.009683884535226523,-0.00557189711909456,11.52705376344086,0.014542147166984348,0.01634614622807066,-0.01380744691339475,2.79936,0.012484692491716158,0.01230463011296733,0.008365531175782426,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,11483.2,0.2544084454481505,0.26901491204260974,0.049550411325808286,451.44218,0.012953837496390886,0.01231437993806233,0.009486800375954507
2011-11-30,48808.26666666667,0.04587174560826779,0.027286333192508467,-0.030743008648443926,4.252666666666667,0.01274042186755416,0.011696604042633082,0.009345794392523477,4.213333333333334,0.011840687932816892,0.011371112196269613,0.009433962264151052,,,,,14.863413978494624,0.2414646615157659,0.11168996033153086,0.13291450528338156,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,10.146740860215054,0.06811600547338456,0.04781895805947709,-0.06108283447564522,11.445183870967742,0.17026941429683456,0.0755368568164736,0.11325317942435698,15.812783870967744,0.300921833685318,0.131826764180956,0.2952882921744131,30.99498924731183,0.05915096440136746,0.02279842324203509,0.08308315610305717,191399.26666666666,0.023244754963573516,0.04415620378945713,0.040820617407896,149127.73333333334,0.022253585421661583,0.04067544308639412,0.0411773010548111,130337.86666666665,0.020956712744329777,0.04222018509796494,0.029325266784303805,18789.86666666667,0.04776436636469052,0.052614610613164914,0.12816775061673025,42271.53333333333,0.050732874253525476,0.08844238809214945,0.03954216867469884,479098.6666666667,0.014110110158205227,0.028564836929508886,-0.0059504889597067345,102917.73333333334,0.026976358337776972,0.022765286172051147,0.04577028276825601,102529.86666666667,0.04573563462784444,0.0395340547634347,-0.07260327357755259,217315.0,0.030313980852161797,0.04230367110253044,-0.002849745590535635,36.3,0.0942092373419385,0.047918971912013185,-0.03003003003003002,266119.6666666667,0.055139300261254506,0.06202711556549526,0.018561660632113508,0.7296774193548388,0.11521426086133436,0.06806000519967495,-0.13888888888888895,9.739344086021504,0.010003686146730204,0.006501867747350903,-0.020425858851937262,11.388387096774192,0.01960363783746276,0.016912321316308206,-0.021712843949347693,2.8208,0.012422379239497834,0.012280665189350481,0.006714240517453396,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,12487.8,0.2804369754581241,0.2766343805144861,0.45661684287276705,455.45652,0.01438313116821153,0.012750237477901702,0.011316813947283899
2011-12-31,47700.95,0.03412819274713564,0.03292604453262418,0.00602991619990445,4.286,0.010116417820198282,0.012029478184751701,0.004629629629629539,4.2445,0.0109274519061069,0.011801068185236947,0.005257009345794428,,,,,16.293958333333332,0.20834277831744885,0.1499432572503734,-0.052429953771693905,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,10.112047311827956,0.06957373977155094,0.05514884659536053,-0.06010957854917487,12.386603225806452,0.16692328868397346,0.10450603702290413,0.01791862595506455,17.87647741935484,0.284531154946866,0.18018599710178135,-0.026572402859828648,32.41590860215054,0.08711766795138487,0.03954715212684059,0.07501295641112327,197887.35,0.0734443292678082,0.04570822353769169,0.12450066409781169,154385.7,0.0706969554800113,0.04282659230642973,0.11786830414794158,134869.9,0.07080653211198287,0.044243123332504575,0.12300185528756957,19515.8,0.07804148881432897,0.05443041661246058,0.08349070668919589,43501.65,0.09079553152316075,0.08186641796084959,0.1483101921605896,479751.9,0.011456647737510617,0.022701038430407335,-0.02084964131100564,110374.5,0.1317466295001918,0.04474717546447037,0.2815645874494308,102043.8,0.0394960381531699,0.036463102827080526,0.11148464092112453,214847.55,0.054966222952372225,0.04502199828365518,-0.12397224150521546,34.519999999999996,0.09639227968985277,0.061691671841543005,-0.03715170278637758,274717.3,0.047596708563469405,0.05891363102165226,0.026237523854708344,0.7200000000000001,0.11624595865834411,0.0818782978199147,0.17204301075268824,9.699344086021505,0.015091664954655378,0.008185677409457828,-0.010072941993747753,11.298709677419355,0.018113852980699372,0.017256837690308467,0.009639949586129237,2.8417000000000003,0.011628884663672729,0.01213083900514483,0.005971087366436256,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,13448.55,0.20471829676834885,0.2501773193368643,-0.16032098610937306,459.89601999999996,0.016092661222623664,0.013561601637915555,0.011822668797513591
2012-01-31,47021.75,0.021998177159645735,0.0339505650397912,0.005486650230094092,4.311999999999999,0.011049285018158366,0.011942370855992684,0.00691244239631339,4.2725,0.012725900041493068,0.01197502895507306,0.00871586287042403,,,,,17.01986559139785,0.15597053281478057,0.17239488000191658,-0.14759335319857192,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,10.082676344086021,0.07369576702510683,0.06330861520447288,-0.06077289224240345,12.982893548387096,0.13047461093306484,0.12403924438295595,-0.08565888017118406,19.12220322580645,0.21684017219326174,0.21211702644128372,-0.1680416522634699,33.95876344086021,0.09298402065201146,0.056502998053223966,0.027500490843832326,203945.75,0.07140157627788146,0.049805410987146005,-0.029410674969096107,158482.1,0.07094626586322832,0.04562519769863214,-0.03315205933233789,138704.7,0.07078564971068504,0.04709165670852529,-0.029126149433832627,19777.4,0.07882676135135698,0.055721552685516915,-0.061095312356664544,45463.65,0.07737571983343286,0.08153379032402439,-0.01633553192670456,485124.9,0.0240382760543044,0.020417023610736176,0.06822372334323279,112958.9,0.12663310682806503,0.06543964144921725,-0.14057298071099533,102375.8,0.04083251139974719,0.03679958832673077,-0.01206994328922495,217133.15,0.059678538652413356,0.047216100893556746,0.16643146860073665,33.480000000000004,0.06386569778210073,0.07150423930006136,0.090032154340836,282094.3,0.03600700438011912,0.053231702874788026,0.01146284537320219,0.7303225806451614,0.13417678155265003,0.09770087909963537,0.21100917431192667,9.669666666666664,0.015322572997872345,0.01077478057249708,0.010865874363327643,11.218709677419355,0.013979621564489472,0.016901363323397436,-0.0008675534991324785,2.86284,0.011139320571653627,0.01194740858168978,0.007914193481203924,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,14317.95,0.2947214770743784,0.2599143459668694,0.5471227109297863,464.56442,0.017115034628428522,0.014559151209126953,0.010176152234488312
2012-02-29,46637.35,0.011777459558132211,0.03037981443176182,0.001588187320255896,4.34,0.009910512980467334,0.011356621244574419,0.004576659038901587,4.3045,0.011083763928865696,0.011756714749578106,0.004608294930875667,,,,,17.2490609936967,0.1298227943750736,0.18536955476360442,-0.11521583081479136,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.954308527994067,0.08748553532025276,0.07443691023361965,-0.020613015456979245,13.40993492769744,0.0680459215024278,0.13154304326898256,-0.06622848347650367,19.658368743047834,0.16380480029671235,0.2319619834661526,-0.16928803380109436,35.224505969595846,0.07135258404617958,0.06783330180331779,-0.025570503173741543,206495.95,0.06365618528624058,0.05312960830476006,-0.049417676536320565,162348.9,0.062372720451369476,0.04901279480753328,0.0013441904090520929,142046.7,0.061513740981102724,0.04976633411394216,-0.003988646650830097,20302.2,0.07530743157715968,0.062378608081741116,0.03961895456765996,44147.05,0.11215763074779742,0.08510513051811472,-0.22378411656064023,490758.9,0.03419155441177561,0.0211709213961497,0.017103857896638486,115900.1,0.11540551162533157,0.08425420629149878,0.010395578675823636,102761.4,0.04299589789663782,0.03817845115773806,0.010839719487576893,219263.75,0.06571359305595526,0.05094762354591366,0.018938257662649338,31.98,0.05742028233215056,0.07683300352358192,-0.13569321533923295,288059.5,0.028354224816737286,0.04590543246146633,0.01491615843259253,0.7296329254727476,0.13347758427853904,0.11338362092453387,-0.06465517241379315,9.639333333333331,0.011714771688311984,0.01176343987233286,0.010077258985555781,11.107686688913606,0.013221596318840042,0.015892171173695197,-0.02230650232047504,2.8845799999999997,0.011557963733210764,0.011846648139950223,0.008988531873127314,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,18440.15,0.43026071935155114,0.2929091828201106,0.4962431364993738,469.38922,0.016821838391389978,0.015473300581408911,0.009147646730638614
2012-03-31,46588.45,0.009727545509007484,0.024700624116437774,0.013081769092311735,4.368,0.009071251261981661,0.010577577789671961,0.006833712984054774,4.3325000000000005,0.00946406201201881,0.011208373164260274,0.004587155963302614,,,,,16.328395671116056,0.18062334478422515,0.1832448223614588,-0.08996590331663268,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.544469818316648,0.06360175567690532,0.0724945606534401,0.005576582652460749,13.269741379310346,0.08098255265218693,0.12333915761369751,-0.023149952782756555,18.889255839822024,0.21579917833268614,0.23637942789096886,-0.09831631188876688,36.05628016314424,0.037388704421229685,0.06959878829443461,-0.028562081214078217,212694.75,0.0500005071076022,0.056349470580621196,0.07692869346807041,166774.0,0.04238718342989908,0.05373134212923395,0.019452664487029647,145609.15,0.04377526275037709,0.0535675796596955,0.016348210563722043,21164.85,0.040636477991068995,0.06411530521972104,0.040799304543959414,45920.75,0.11627388490063757,0.08946712825171081,0.3316192994051552,498446.95,0.04287694193936767,0.025334706060232703,0.020642143640628996,118680.45,0.09169314916785526,0.09849095109184412,-0.02321703329219016,103661.95,0.046568062423434184,0.043125628900166704,0.014071609752404068,222874.85,0.07794783058490501,0.05772403321956152,0.04136559051334121,31.3,0.059256348214032944,0.0742287690720151,0.020477815699658564,293068.85,0.025836638937188003,0.03858677539175366,0.01611100841889468,0.7509232480533927,0.13318404138827641,0.1264597253478288,0.008378718056137435,9.630301075268815,0.010176374250464325,0.012461814007607114,0.005320917858330665,11.112202817945866,0.013874019341355046,0.01575854560856934,0.03850551245406297,2.90612,0.012329528667862905,0.011815615375179573,0.00771383712198781,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,20473.2,0.3300452305898546,0.3080365398484514,-0.31957991308546596,474.25082000000003,0.015802618032100296,0.016043056688550793,0.009393141273972283
2012-04-30,46909.93,0.011656988259870276,0.01785767264675827,0.008268028808020578,4.396,0.010498617615303468,0.010129216939221822,0.009049773755656076,4.3597,0.00975970435447148,0.01079217644859119,0.008219178082191858,,,,,14.80404150444939,0.17911506025523966,0.17077490210935356,-0.053837368482809844,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.261003151649982,0.03615850748685313,0.0661030610561338,-0.00543519978271001,12.743341379310346,0.08923232470338532,0.10713173969500767,-0.04015367141043635,16.81453917315536,0.23439232036886365,0.22307352522767795,-0.0870972415226049,36.26798016314424,0.026961429542414428,0.063160881322644,-0.01383174489408645,218507.39000000004,0.03792829812173046,0.059286179212252585,0.02637485818632168,170143.6,0.014961926715130563,0.05227301038792774,0.004959838476056744,148958.07,0.016152627244258585,0.05260676255968126,0.018634275407510392,21185.53,0.03915022625543863,0.062392477197870666,-0.08685847150580717,48363.79,0.1329969105231907,0.10591993550564385,0.0990241917071184,509208.06999999995,0.04741506640609446,0.03199569730981055,0.02386964426488203,121226.48999999999,0.06997926951488594,0.10709153332726593,0.030123399089923675,106550.83,0.018368983455297857,0.03765229866565739,0.023236756570089945,226828.41,0.08477307599479243,0.06861585224808765,0.004482988714575864,30.839999999999996,0.05933054740069135,0.06725303108376567,0.0033444816053511683,297805.33,0.02218117811408197,0.031995150962319155,0.012511297344452332,0.8005899147200595,0.07490778527416188,0.11839843023039431,0.05615796519410976,9.670967741935481,0.012431384358839689,0.012947353650029012,0.004961958319550153,11.2625361512792,0.029816101613461148,0.017801038363769013,0.04275940706955539,2.92914,0.013213229065069358,0.011973785340293875,0.00897574854355776,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,21830.359999999997,0.2883684532039918,0.309622835397625,0.0771410661273344,478.93862,0.014772029620403375,0.016120836378989162,0.008950380120194668
2012-05-31,47037.58,0.009472703268002902,0.012926574750931721,-0.014504063403357303,4.432,0.01348138018618522,0.01080220941241921,0.013452914798206095,4.3932,0.011676050247918329,0.010941896116953476,0.012228260869564966,,,,,13.390311665739711,0.129073388973973,0.1549210242406584,-0.03983954058073946,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.096793474230626,0.0096937074359177,0.05412705458900714,-0.0036719633575461597,12.111663959955505,0.061665915659075636,0.08608026509002811,-0.023445602887925743,14.788264979606973,0.1737734730628959,0.20092198885088397,-0.02916979965116595,35.909286614757136,0.032244934624307414,0.05218633465722851,-0.008587175431831073,219076.64000000004,0.03985161206683598,0.05256763577205814,-0.006888436568869838,170547.9,0.018829567667718573,0.041899532825469196,0.0199627300256231,149762.16999999998,0.024786146238228255,0.04340268538493034,0.025416087438099977,20785.73,0.04489904453888573,0.055763988342782025,-0.020884630217449462,48528.740000000005,0.13353550547103063,0.11446793029521785,-0.09018321344311919,524048.1699999999,0.0323740404703712,0.03617917585638267,0.019336947439078767,119877.59,0.046077866072173686,0.08995778064166231,0.08782374756553923,106615.23000000001,0.018116334702252473,0.033376357975473905,-0.03201973139327419,237273.46000000002,0.03446750849165051,0.0645161093559433,0.020509101865901158,30.7,0.05966338463848574,0.05990725207349227,0.013333333333333197,302238.43,0.024251342110699514,0.027326077671765175,0.01925249263854134,0.8199447534297368,0.03358501023524291,0.10186624054577406,-0.05697445972495074,9.741290322580644,0.009804993780176338,0.011890019415133202,0.005266622778143715,11.319310344827587,0.0297755923723097,0.02013338624209108,-0.030617823947512335,2.95382,0.013401653039974298,0.01232833901555419,0.008526637349357324,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,25393.809999999998,0.20909565825904122,0.3104983076957634,0.3719814826201917,483.40596000000005,0.014371331714906725,0.015776570477445778,0.008994804555295666
2012-06-30,46979.51333333333,0.011259141877259744,0.010778767694454523,-0.01435423673492564,4.4719999999999995,0.01638646776436905,0.011869645961661346,0.01106194690265494,4.4312000000000005,0.015630488828203743,0.011522813874295611,0.013422818791946511,,,,,12.616557185452972,0.07617690710583198,0.13896229909886867,0.036619575471246835,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.090446162402671,0.008246213139299541,0.041037143811845686,0.02117864378500789,11.779536719812137,0.03588173713912452,0.06716169033124005,0.022810360612943725,13.504728420467188,0.10157106847713217,0.17786816810765801,-0.007125220458553683,35.0952156470152,0.032375447835693384,0.0400646200939649,-0.03657803285838235,225103.24000000005,0.06486989175393235,0.05126129886726831,0.09195962964276849,174868.9,0.047681456455941074,0.03724657094401175,0.07904172471281434,154087.23666666666,0.05677999805560602,0.04060155505391453,0.08495499265076667,20781.663333333334,0.04499263491194295,0.04899716305489922,0.03265498493494268,50234.340000000004,0.15081601828580293,0.12915598998569183,0.13688348820586138,532980.7699999999,0.02866468556523765,0.03710445775856932,0.004828005731309926,122533.25666666667,0.05602513430354823,0.07583618613675894,0.006753016716483984,109043.63,0.04153633197119481,0.03351712208976343,0.09934792031812445,238839.79333333336,0.02570222272315626,0.05772084617009189,-0.048868790515009586,30.4,0.0389910183918787,0.05493231619544786,0.06578947368421062,307922.29666666663,0.03019108635476766,0.026162894066694885,0.030691900496236713,0.7992888394512422,0.044345367304010355,0.08389995769604612,-0.06458333333333344,9.800645161290323,0.008067007423425141,0.010438906300243762,0.004911591355599043,11.330944753429737,0.029164793863141553,0.023170420701821497,-0.020577176160932464,2.9788400000000004,0.013267854666650744,0.012754045834553612,0.008154977865060031,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,24821.076666666668,0.24328750273962124,0.300211512828812,-0.4270149715615029,487.74093999999997,0.014064647517167368,0.015166493055193544,0.00836969703988566
2012-07-31,47009.51333333333,0.010866029629023066,0.010596481708632696,0.011107831633204057,4.518,0.01787218170711798,0.013461979706991475,0.010940919037199182,4.4752,0.018215520233832473,0.012949165135288968,0.011037527593819041,,,,,12.432160170250897,0.04971030064059758,0.12293980035197347,0.0908728441015576,,,,,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.15273870967742,0.015246779103393525,0.02658939256847384,0.01656492050728775,11.713886738351254,0.027735490225409967,0.059099604075836476,0.03940673471015432,12.969182258064517,0.05212325983925008,0.1555318600161656,0.04454416897444502,34.56000430107527,0.024346331761167985,0.03066336963696258,0.01295321441694619,233308.04000000004,0.05186640477166354,0.04890334276435292,0.0008568527918781932,180627.7,0.06333227510938853,0.03743848187561556,0.03922917372163903,159866.43666666668,0.07172531167343836,0.04264386919238166,0.039661647815484535,20761.263333333332,0.04443042605234928,0.04282176194993713,0.03566480301227393,52680.340000000004,0.06417462677897393,0.11955938919192714,-0.1257990149848056,542239.7699999999,0.02506903942162976,0.03527995476054015,0.018686783039665755,126332.85666666666,0.07034091114872756,0.06682326604143814,0.053216790012326154,110273.83,0.03811140985333994,0.03254022448110385,-0.04164059486564098,241717.79333333336,0.01963486354386173,0.04850510026767319,0.04627125124547482,30.98,0.03942784114810647,0.051333827958639035,-0.006172839506172756,313914.0966666667,0.03348452714996223,0.027188954533339877,0.018385653013037295,0.7903010752688173,0.05250373090405,0.0677051870211483,0.004382498742725893,9.840645161290322,0.0065749090610712985,0.009410933774795623,0.0,11.41163440860215,0.020388485278721426,0.024603798493797777,0.008628384409401946,3.00312,0.013037269225658787,0.013049906933043217,0.00739566825145288,,,,,,,,,,,,,,,,,,,,,9.42,0.0,0.0,0.0,24221.076666666668,0.22194825711880325,0.2585490203822624,0.5680230933978956,492.11764000000005,0.013905423341194524,0.014583210045154454,0.009168452046213416
